CVE,DESCRIP
1,No tendría dinero suficiente para vestirse y calzarse
2,No aprendería un oficio
3,No tendría dinero para su propia diversión o gastos
4,Regresaría o continuaría en la escuela
5,Se dedicaría a los quehaceres de su hogar
6,Se volverá una persona irresponsable
7,Andaría de vago (caería en vicios)
8,"Se dedicaría a jugar, hacer deporte, etcétera"
9,Otra consecuencia
10,No habría consecuencia
99,No sabe
