CVE,DESCRIP
0,Sin número de minutos en jueves
1,Un minuto en jueves
2,Dos minutos en jueves
3,Tres minutos en jueves
4,Cuatro minutos en jueves
5,Cinco minutos en jueves
6,Séis minutos en jueves
7,Siete minutos en jueves
8,Ocho minutos en jueves
9,Nueve minutos en jueves
10,Diez minutos en jueves
11,Once minutos en jueves
12,Doce minutos en jueves
13,Trece minutos en jueves
14,Catorce minutos en jueves
15,Quince minutos en jueves
16,Dieciséis minutos en jueves
17,Diecisiete minutos en jueves
18,Dieciocho minutos en jueves
19,Diecinueve minutos en jueves
20,Veinte minutos en jueves
21,Veintiuno minutos en jueves
22,Veintidos minutos en jueves
23,Veintitres minutos en jueves
24,Veinticuatro minutos en jueves
25,Veinticinco minutos en jueves
26,Veintiséis minutos en jueves
27,Veintisiete minutos en jueves
28,Veintiocho minutos en jueves
29,Veintinueve minutos en jueves
30,Treinta minutos en jueves
31,Treinta y uno minutos en jueves
32,Treinta y dos minutos en jueves
33,Treinta y tres minutos en jueves
34,Treinta y cuatro minutos en jueves
35,Treinta y cinco minutos en jueves
36,Treinta y séis minutos en jueves
37,Treinta y siete minutos en jueves
38,Treinta y ocho minutos en jueves
39,Treinta y nueve minutos en jueves
40,Cuarenta minutos en jueves
41,Cuarenta y uno minutos en jueves
42,Cuarenta y dos minutos en jueves
43,Cuarenta y tres minutos en jueves
44,Cuarenta y cuatro minutos en jueves
45,Cuarenta y cinco minutos en jueves
46,Cuarenta y séis minutos en jueves
47,Cuarenta y siete minutos en jueves
48,Cuarenta y ocho minutos en jueves
49,Cuarenta y nueve minutos en jueves
50,Cincuenta minutos en jueves
51,Cincuenta y uno minutos en jueves
52,Cincuenta y dos minutos en jueves
53,Cincuenta y tres minutos en jueves
54,Cincuenta y cuatro minutos en jueves
55,Cincuenta y cinco minutos en jueves
56,Cincuenta y seis minutos en jueves
57,Cincuenta y siete minutos en jueves
58,Cincuenta y ocho minutos en jueves
59,Cincuenta y nueve minutos en jueves
