CVE,DESCRIP
0,Sin número de horas en viernes
1,Una hora en viernes
2,Dos horas en viernes
3,Tres horas en viernes
4,Cuatro horas en viernes
5,Cinco horas en viernes
6,Seis horas en viernes
7,Siete horas en viernes
8,Ocho horas en viernes
9,Nueve horas en viernes
10,Diez horas en viernes
11,Once horas en viernes
12,Doce horas en viernes
13,Trece horas en viernes
14,Catorce horas en viernes
15,Quince horas en viernes
16,Dieciséis horas en viernes
17,Diecisiete horas en viernes
18,Dieciocho horas en viernes
19,Diecinueve horas en viernes
20,Veinte horas en viernes
21,Veintiún horas en viernes
22,Veintidos horas en viernes
23,Veintitrés horas en viernes
24,Veinticuatro horas en viernes
98,Trabajó ese día pero no sabe cuánto tiempo
99,No sabe si trabajó ese día
