CVE,DESCRIP,,,,,,,,
1,"Al año de edad empezó a trabajar
02""",A los dos años de edad empezó a trabajar,,,,,,,
3,"A los tres años de edad empezó a trabajar""
04""","A los cuatro años de edad empezó a trabajar""
05""","A los cinco años de edad empezó a trabajar""
06""","A los seis años de edad empezó a trabajar""
07""","A los siete años de edad empezó a trabajar""
08""","A los ocho años de edad empezó a trabajar""
09""","A los nueve años de edad empezó a trabajar""
10""","A los diez años de edad empezó a trabajar""
11""","A los once años de edad empezó a trabajar""
"
