CVE,DESCRIP
1,"Juegos, juguetes, diversión, esparcimiento, etcétera"
2,Gastos de la escuela
3,Gastos del hogar
4,Se envía a otros hogares
5,Ropa y calzado
6,Ahorra
7,Otro
9,No sabe
