CVE,DESCRIP
0,Sin número de minutos en sábado
1,Un minuto en sábado
2,Dos minutos en sábado
3,Tres minutos en sábado
4,Cuatro minutos en sábado
5,Cinco minutos en sábado
6,Séis minutos en sábado
7,Siete minutos en sábado
8,Ocho minutos en sábado
9,Nueve minutos en sábado
10,Diez minutos en sábado
11,Once minutos en sábado
12,Doce minutos en sábado
13,Trece minutos en sábado
14,Catorce minutos en sábado
15,Quince minutos en sábado
16,Dieciséis minutos en sábado
17,Diecisiete minutos en sábado
18,Dieciocho minutos en sábado
19,Diecinueve minutos en sábado
20,Veinte minutos en sábado
21,Veintiuno minutos en sábado
22,Veintidos minutos en sábado
23,Veintitres minutos en sábado
24,Veinticuatro minutos en sábado
25,Veinticinco minutos en sábado
26,Veintiséis minutos en sábado
27,Veintisiete minutos en sábado
28,Veintiocho minutos en sábado
29,Veintinueve minutos en sábado
30,Treinta minutos en sábado
31,Treinta y uno minutos en sábado
32,Treinta y dos minutos en sábado
33,Treinta y tres minutos en sábado
34,Treinta y cuatro minutos en sábado
35,Treinta y cinco minutos en sábado
36,Treinta y séis minutos en sábado
37,Treinta y siete minutos en sábado
38,Treinta y ocho minutos en sábado
39,Treinta y nueve minutos en sábado
40,Cuarenta minutos en sábado
41,Cuarenta y uno minutos en sábado
42,Cuarenta y dos minutos en sábado
43,Cuarenta y tres minutos en sábado
44,Cuarenta y cuatro minutos en sábado
45,Cuarenta y cinco minutos en sábado
46,Cuarenta y séis minutos en sábado
47,Cuarenta y siete minutos en sábado
48,Cuarenta y ocho minutos en sábado
49,Cuarenta y nueve minutos en sábado
50,Cincuenta minutos en sábado
51,Cincuenta y uno minutos en sábado
52,Cincuenta y dos minutos en sábado
53,Cincuenta y tres minutos en sábado
54,Cincuenta y cuatro minutos en sábado
55,Cincuenta y cinco minutos en sábado
56,Cincuenta y seis minutos en sábado
57,Cincuenta y siete minutos en sábado
58,Cincuenta y ocho minutos en sábado
59,Cincuenta y nueve minutos en sábado
