CVE,DESCRIP
1,bolsas de mandado o mercancía?
2,botes con mezcla (arena o grava)?
3,cajas de refresco?
4,cajas o cubetas con fruta o verdura?
5,cubetas o garrafones con líquido?
6,"costales, sacos o bultos de granos, cemento o tierra?"
7,"adobes, tabiques, tabicones?"
8,brazadas de leña?
9,Otros productos
10,No carga cosas pesadas
99,No sabe
