CVE,DESCRIP
1,Un grado de escolaridad
2,Dos grados de escolaridad
3,Tres grados de escolaridad
4,Cuatro grados de escolaridad
5,Cinco grados de escolaridad
6,Seis grados de escolaridad
7,Siete grados de escolaridad
8,Ocho grados de escolaridad
9,Nueve grados de escolaridad
