CVE,DESCRIP
0,Sin número de horas en sábado
1,Una hora en sábado
2,Dos horas en sábado
3,Tres horas en sábado
4,Cuatro horas en sábado
5,Cinco horas en sábado
6,Seis horas en sábado
7,Siete horas en sábado
8,Ocho horas en sábado
9,Nueve horas en sábado
10,Diez horas en sábado
11,Once horas en sábado
12,Doce horas en sábado
13,Trece horas en sábado
14,Catorce horas en sábado
15,Quince horas en sábado
16,Dieciséis horas en sábado
17,Diecisiete horas en sábado
18,Dieciocho horas en sábado
19,Diecinueve horas en sábado
20,Veinte horas en sábado
21,Veintiún horas en sábado
22,Veintidos horas en sábado
23,Veintitrés horas en sábado
24,Veinticuatro horas en sábado
98,Trabajó ese día pero no sabe cuánto tiempo
99,No sabe si trabajó ese día
