CVE,DESCRIP
0,Sin número de minutos en viernes
1,Un minuto en viernes
2,Dos minutos en viernes
3,Tres minutos en viernes
4,Cuatro minutos en viernes
5,Cinco minutos en viernes
6,Séis minutos en viernes
7,Siete minutos en viernes
8,Ocho minutos en viernes
9,Nueve minutos en viernes
10,Diez minutos en viernes
11,Once minutos en viernes
12,Doce minutos en viernes
13,Trece minutos en viernes
14,Catorce minutos en viernes
15,Quince minutos en viernes
16,Dieciséis minutos en viernes
17,Diecisiete minutos en viernes
18,Dieciocho minutos en viernes
19,Diecinueve minutos en viernes
20,Veinte minutos en viernes
21,Veintiuno minutos en viernes
22,Veintidos minutos en viernes
23,Veintitres minutos en viernes
24,Veinticuatro minutos en viernes
25,Veinticinco minutos en viernes
26,Veintiséis minutos en viernes
27,Veintisiete minutos en viernes
28,Veintiocho minutos en viernes
29,Veintinueve minutos en jueves
30,Treinta minutos en viernes
31,Treinta y uno minutos en viernes
32,Treinta y dos minutos en viernes
33,Treinta y tres minutos en viernes
34,Treinta y cuatro minutos en viernes
35,Treinta y cinco minutos en viernes
36,Treinta y séis minutos en viernes
37,Treinta y siete minutos en viernes
38,Treinta y ocho minutos en viernes
39,Treinta y nueve minutos en viernes
40,Cuarenta minutos en viernes
41,Cuarenta y uno minutos en viernes
42,Cuarenta y dos minutos en viernes
43,Cuarenta y tres minutos en viernes
44,Cuarenta y cuatro minutos en viernes
45,Cuarenta y cinco minutos en viernes
46,Cuarenta y séis minutos en viernes
47,Cuarenta y siete minutos en viernes
48,Cuarenta y ocho minutos en viernes
49,Cuarenta y nueve minutos en viernes
50,Cincuenta minutos en viernes
51,Cincuenta y uno minutos en viernes
52,Cincuenta y dos minutos en viernes
53,Cincuenta y tres minutos en viernes
54,Cincuenta y cuatro minutos en viernes
55,Cincuenta y cinco minutos en viernes
56,Cincuenta y seis minutos en viernes
57,Cincuenta y siete minutos en viernes
58,Cincuenta y ocho minutos en viernes
59,Cincuenta y nueve minutos en viernes
