CVE,DESCRIP
1,Un día trabajado a la semana
2,Dos días trabajados a la semana
3,Tres días trabajados a la semana
4,Cuatro días trabajados a la semana
5,Cinco días trabajados a la semana
6,Seis días trabajados a la semana
7,Siete días trabajados a la semana
