CVE,DESCRIP
0,Sin número de horas en jueves
1,Una hora en jueves
2,Dos horas en jueves
3,Tres horas en jueves
4,Cuatro horas en jueves
5,Cinco horas en jueves
6,Seis horas en jueves
7,Siete horas en jueves
8,Ocho horas en jueves
9,Nueve horas en jueves
10,Diez horas en jueves
11,Once horas en jueves
12,Doce horas en jueves
13,Trece horas en jueves
14,Catorce horas en jueves
15,Quince horas en jueves
16,Dieciséis horas en jueves
17,Diecisiete horas en jueves
18,Dieciocho horas en jueves
19,Diecinueve horas en jueves
20,Veinte horas en jueves
21,Veintiún horas en jueves
22,Veintidos horas en jueves
23,Veintitrés horas en jueves
24,Veinticuatro horas en jueves
98,Trabajó ese día pero no sabe cuánto tiempo
99,No sabe si trabajó ese día
