CVE,DESCRIP
0,Sin número de horas en lunes
1,Una hora en lunes
2,Dos horas en lunes
3,Tres horas en lunes
4,Cuatro horas en lunes
5,Cinco horas en lunes
6,Seis horas en lunes
7,Siete horas en lunes
8,Ocho horas en lunes
9,Nueve horas en lunes
10,Diez horas en lunes
11,Once horas en lunes
12,Doce horas en lunes
13,Trece horas en lunes
14,Catorce horas en lunes
15,Quince horas en lunes
16,Dieciséis horas en lunes
17,Diecisiete horas en lunes
18,Dieciocho horas en lunes
19,Diecinueve horas en lunes
20,Veinte horas en lunes
21,Veintiún horas en lunes
22,Veintidos horas en lunes
23,Veintitrés horas en lunes
24,Veinticuatro horas en lunes
98,Trabajó ese día pero no sabe cuánto tiempo
99,No sabe si trabajó ese día
