CVE,DESCRIP
5,05 años cumplidos del integrante del hogar
6,06 años cumplidos del integrante del hogar
7,07 años cumplidos del integrante del hogar
8,08 años cumplidos del integrante del hogar
9,09 años cumplidos del integrante del hogar
10,10 años cumplidos del integrante del hogar
11,11 años cumplidos del integrante del hogar
98,Edad no especificada para menores de 05 a 11 años de edad
