CVE,DESCRIP
1,Tendría que contratarse a otra persona
2,El ingreso del hogar se vería afectado
3,La carga de trabajo sería más pesada para los demás
4,El hogar tendría que destinar ingresos para los gastos del niño
5,Otra consecuencia
6,No habría consecuencia
9,No sabe
