CVE,DESCRIP
1,Trabaja solo cuando lo llaman o solicitan sus servicios
2,Solo hay trabajo durante algunas épocas o temporadas del año
3,Por los estudios
4,No necesita trabajar todo el año
5,Motivos personales o familiares
6,Otros motivos
9,No sabe
