CVE,DESCRIP
0,Sin número de horas en domingo
1,Una hora en domingo
2,Dos horas en domingo
3,Tres horas en domingo
4,Cuatro horas en domingo
5,Cinco horas en domingo
6,Seis horas en domingo
7,Siete horas en domingo
8,Ocho horas en domingo
9,Nueve horas en domingo
10,Diez horas en domingo
11,Once horas en domingo
12,Doce horas en domingo
13,Trece horas en domingo
14,Catorce horas en domingo
15,Quince horas en domingo
16,Dieciséis horas en domingo
17,Diecisiete horas en domingo
18,Dieciocho horas en domingo
19,Diecinueve horas en domingo
20,Veinte horas en domingo
21,Veintiún horas en domingo
22,Veintidos horas en domingo
23,Veintitrés horas en domingo
24,Veinticuatro horas en domingo
98,Trabajó ese día pero no sabe cuánto tiempo
99,No sabe si trabajó ese día
