CVE,DESCRIP
1,vender o hacer productos para la venta?
2,"prestar servicios (asear calzado, lavar ropa ajena)?"
3,trabajar por propina o destajo (empacar productos)?
4,"ayudar con o sin pago en las tierras de un familiar o de otra persona (arar, sembrar la tierra, pizcar, crianza de ganado)?"
5,"ayudar con o sin pago en el negocio de un familiar o de otra persona (ayudar en el taller, atender la tienda)?"
6,buscar trabajo?
7,realizar los quehaceres o cuidar a personas de su propio hogar?
9,Ninguno de los anteriores
